
score,episode reward,running reward,episode frames,total frames,Q values
130,44,44.0,165,165,7.711532
130,44,44.0,265,430,8.760769
320,80,56.0,497,927,9.334431
280,80,62.0,570,1497,9.716899
80,32,56.0,262,1759,10.043714
130,40,53.333333333333336,400,2159,10.013061
160,48,52.57142857142857,343,2502,10.040135
230,68,54.5,511,3013,9.886226
300,76,56.888888888888886,500,3513,9.827756
280,84,59.6,606,4119,9.652229
150,49,58.63636363636363,385,4504,9.664467
170,48,57.75,390,4894,9.730113
270,76,59.15384615384615,557,5451,9.826609
420,108,62.642857142857146,843,6294,10.041787
150,52,61.93333333333333,340,6634,10.229024
120,40,60.5625,278,6912,10.366035
500,124,64.29411764705883,662,7574,10.259904
260,76,64.94444444444444,578,8152,9.886185
230,72,65.3157894736842,631,8783,10.068615
50,9,62.5,156,8939,9.739155
630,160,67.14285714285714,1134,10073,10.112915
100,32,65.54545454545455,263,10336,11.0207
150,44,64.6086956521739,293,10629,11.362738
240,73,64.95833333333333,305,10934,11.294787
120,44,64.12,336,11270,11.4983425
140,42,63.26923076923077,360,11630,11.245651
250,84,64.03703703703704,422,12052,11.2397585
160,48,63.464285714285715,307,12359,11.376359
370,100,64.72413793103448,716,13075,11.411115
650,164,68.03333333333333,1237,14312,11.349375
80,24,66.61290322580645,92,14404,11.356397
180,60,66.40625,506,14910,11.285509
90,24,65.12121212121212,230,15140,11.159511
260,72,65.32352941176471,413,15553,11.139665
440,120,66.88571428571429,646,16199,11.138635
600,156,69.36111111111111,868,17067,11.218832
70,24,68.13513513513513,205,17272,11.349508
100,36,67.28947368421052,322,17594,11.080141
140,56,67.0,353,17947,11.105103
430,120,68.325,537,18484,11.130165
490,124,69.6829268292683,824,19308,11.096727
680,168,72.02380952380952,1261,20569,11.345996
60,22,70.86046511627907,226,20795,11.639545
680,168,73.06818181818181,1025,21820,11.586611
160,44,72.42222222222222,399,22219,11.595297
60,24,71.3695652173913,178,22397,11.617455
290,84,71.63829787234043,331,22728,11.717418
250,76,71.72916666666667,455,23183,11.525633
330,88,72.06122448979592,707,23890,11.651634
210,75,72.12,701,24591,11.819376
140,48,71.6470588235294,423,25014,11.878237
370,104,72.26923076923077,650,25664,11.837096
370,104,72.86792452830188,587,26251,11.631836
100,24,71.96296296296296,157,26408,11.644474
210,56,71.67272727272727,415,26823,11.533448
260,70,71.64285714285714,551,27374,11.774928
80,32,70.94736842105263,218,27592,11.636018
570,144,72.20689655172414,881,28473,11.735641
310,96,72.61016949152543,483,28956,11.584166
40,16,71.66666666666667,130,29086,11.556889
190,52,71.34426229508196,451,29537,11.676274
90,36,70.7741935483871,366,29903,11.870478
330,97,71.19047619047619,486,30389,12.217975
600,145,72.34375,855,31244,12.434866
190,64,72.21538461538462,333,31577,12.488298
240,76,72.27272727272727,490,32067,12.520435
